,titles,descriptions,links,yogunlasma,harf_uzunlugu,kelime_sayisi
11,Nagel over conflict 50Plus: ‘Dit schuitje heeft wel vaker stormweer meegemaakt’,"Voormalig politicus en oud-journalist Jan Nagel (80) is weer eens betrokken bij een politieke partij die geteisterd wordt door ruzies. Bij zijn ‘kindje’ 50Plus vliegt de top elkaar in de haren en erevoorzitter Nagel vecht zelf een flink robbertje mee. ,,Als je zo fundamenteel met elkaar in discussie bent, moet je van je hart geen moordkuil maken.”",https://www.ad.nl/politiek/nagel-over-conflict-50plus-dit-schuitje-heeft-wel-vaker-stormweer-meegemaakt~a8cfbbea/,0.5,349,57
12,Oververzekering in zes voorbeelden: ben jij (iets te) goed verzekerd?,Met een paar klikken is het gebeurd. Een schadeverzekering is online zo afgesloten. Bij sommige verzekeraars ben je met een paar euro per maand al klaar. Maar hoe voorkom je dat je oververzekerd bent?,https://www.ad.nl/economie/oververzekering-in-zes-voorbeelden-ben-jij-iets-te-goed-verzekerd~ac4688d7/,0.0,200,34
13,Advies: laat multinationals 600 miljoen euro meer belasting betalen,Multinationals betalen in Nederland te weinig of helemaal geen belasting doordat zij hier behaalde winsten op papier veel te royaal kunnen drukken. Door een bodem in de winstbelasting te leggen kan de schatkist jaarlijks 600 miljoen euro aan extra inkomsten tegemoet zien.,https://www.ad.nl/politiek/advies-laat-multinationals-600-miljoen-euro-meer-belasting-betalen~acae7700/,0.0,272,42
14,Wederom minder coronapatiënten op intensive care,Voor de vierde dag op rij is het aantal ernstig zieke patiënten met corona afgenomen. In de ziekenhuizen mochten 24 mensen van de intensive care af. Er liggen nu nog 1279 mensen.,https://www.ad.nl/home/wederom-minder-coronapatienten-op-intensive-care~af174f3a/,0.0,178,32
15,1400 deelfietsen moeten in Amsterdam voor concurrentie met de auto zorgen,Na de zomer komt er in Amsterdam ruimte voor 1400 deelfietsen op aangewezen plekken. Door het gecontroleerd toelaten van dergelijke fietsen hoopt de gemeente chaotische toestanden met duizenden fietsen te voorkomen.,https://www.ad.nl/auto/1400-deelfietsen-moeten-in-amsterdam-voor-concurrentie-met-de-auto-zorgen~aae04a1a/,0.0,215,31
16,"Leverancier personeel Lowlands failliet: ‘Evenementenwereld niet gemaakt voor 1,5-metersamenleving’",Het evenementenuitzendbureau Eventure overleeft de coronacrisis niet. Eigenaar Rob Seveke heeft het faillissement aangevraagd. Hij had zes mensen in vaste dienst. Ook 4000 uitzendkrachten verliezen hun baan. Het bedrijf leverde personeel aan tal van grote evenementen in Oost-Nederland.,https://www.ad.nl/binnenland/leverancier-personeel-lowlands-failliet-evenementenwereld-niet-gemaakt-voor-1-5-metersamenleving~aa2fa741/,0.0,286,38
17,Dit is de grootste snurker van 2020: ‘Ik gun mijn vrouw ook een goede nachtrust’,"Mensen kunnen er lacherig over doen terwijl anderen zich er intens voor schamen. Feit is dat er nog altijd een groot taboe rust op snurken. En dat terwijl Nederland ruim vier miljoen chronische snurkers telt. Om te laten zien dat snurken ‘dus‘ heel normaal is, wordt de grootste snurker van het jaar-wedstrijd gehouden. De winnaar van dit jaar, die vandaag bekend werd gemaakt, schaamt zich in ieder geval nergens voor: ,,Wat ik wel vervelend vind is dat mijn omgeving er last van heeft.”",https://www.ad.nl/binnenland/dit-is-de-grootste-snurker-van-2020-ik-gun-mijn-vrouw-ook-een-goede-nachtrust~a9f99564/,0.0,488,83
18,"Frank zit in quarantaine: Mijn kind spreekt in geheimtaal ‘reipap si po, apap’",Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 34. Lees alle eerdere afleveringen hier terug.,https://www.ad.nl/binnenland/frank-zit-in-quarantaine-mijn-kind-spreekt-in-geheimtaal-reipap-si-po-apap~a2103ef3/,0.0,157,24
19,Minister Ollongren is terug en ze gaat de huren niet bevriezen,"Hoewel de oppositie het dolgraag wil, gaat minister Kajsa Ollongren van Binnenlandse Zaken de huren niet bevriezen. Volgens haar is dat onverstandig, omdat woningcorporaties de huurinkomsten hard nodig hebben om ook tijdens de coronacrisis te blijven bouwen.",https://www.ad.nl/wonen/minister-ollongren-is-terug-en-ze-gaat-de-huren-niet-bevriezen~ae3b0c25/,-0.2916666666666667,258,37
20,"RIVM: 189 nieuwe sterfgevallen, maar ‘slechts’ 188 nieuwe ziekenhuisopnames","Het aantal meldingen van personen die als gevolg van corona zijn overleden is de afgelopen 24 uur gestegen met 189. Daarnaast kwamen er 188 meldingen binnen van mensen die in het ziekenhuis zijn opgenomen (geweest). Het, vergeleken met de afgelopen dagen, hoge aantal doden komt doordat veel sterfgevallen pas na het paasweekend, dus gisteren, zijn gerapporteerd.",https://www.ad.nl/binnenland/rivm-189-nieuwe-sterfgevallen-maar-slechts-188-nieuwe-ziekenhuisopnames~ad966c1d/,0.0,363,56
21,PODCAST | ‘Trump heeft wel een punt met kritiek op WHO’,"‘Donald Trump heeft gelijk wanneer hij zegt dat de Wereldgezondheidsorganisatie - de WHO - niet goed heeft gefunctioneerd in deze zaak,’ zegt buitenlandcommentator Bob van Huet in de podcast Achter het Verhaal over de coronacrisis. ‘Je kunt zeggen dat de WHO wel heel erg op China afgegaan is en erg snel complimenten uitgedeeld heeft over de aanpak.’",https://www.ad.nl/achter-de-schermen/podcast-trump-heeft-wel-een-punt-met-kritiek-op-who~aae7ea62/,0.0,351,57
22,"Martin Kool maakt puzzels voor deze site: ‘Een welkome afleiding, zeker in deze tijden’","De experts zijn duidelijk, hoe mooi het weer buiten ook mag zijn, de komende weken moeten we nog steeds gehoor geven aan de oproep zoveel mogelijk binnen te blijven. Maar wat als je alle series op Netflix al hebt gebinged, de meeste online kooktips al in de praktijk hebt gebracht en de buren gek worden van jouw sportsessies in de woonkamer?",https://www.ad.nl/nlblijftthuis/martin-kool-maakt-puzzels-voor-deze-site-een-welkome-afleiding-zeker-in-deze-tijden~ac308a77/,0.0,342,61
23,Duizenden gebruikers aangemerkt als fraudeur door storing Marktplaats,Marktplaats heeft sinds gisteren te maken met een storing waardoor duizenden accounts geblokkeerd zijn en onterecht als frauduleus worden aangemerkt. Verkopers krijgen ten onrechte berichten dat bepaalde kopers vermoedelijk fraudeurs zijn.,https://www.ad.nl/tech/duizenden-gebruikers-aangemerkt-als-fraudeur-door-storing-marktplaats~a6ea9564/,0.0,239,31
24,"Winkels gaan weer open, omzet stijgt: ‘Winkelen kan ook weer’","Mode- en schoenenwinkels openen de deuren weer. De omzet stijgt, de consument durft de deur weer uit. ,,We zien dat veel winkeliers oplossingen hebben bedacht voor de anderhalve-metereconomie dus wij durven nu ook te zeggen: winkelen kan weer”, zegt directeur Jan Meerman van brancheorganisatie INretail.",https://www.ad.nl/binnenland/winkels-gaan-weer-open-omzet-stijgt-winkelen-kan-ook-weer~aee265ff/,0.0,304,45
25,Kamerleden 50Plus willen nu toch ook ledenraadpleging over Dales,"De Tweede Kamerleden van 50Plus, die gisteren nog via een persbericht het vertrouwen opzegden in partijvoorzitter Geert Dales, erkennen nu toch dat de leden gaan over het lot van Dales.",https://www.ad.nl/politiek/kamerleden-50plus-willen-nu-toch-ook-ledenraadpleging-over-dales~a9d38b40/,0.0,185,30
26,Emma (16) niet welkom op Cuba: zeilend terug naar huis enige optie,De coronacrisis betekent voor Emma van Kampen (16) uit Woudenberg een bizarre wending in een zeilavontuur door het Caribisch gebied.,https://www.ad.nl/nlblijftthuis/emma-16-niet-welkom-op-cuba-zeilend-terug-naar-huis-enige-optie~ada4a059/,0.4,132,20
27,Bedreigd homokoppel wil voorlopig geen bemiddelingsgesprek met belager,"Het homostel dat in Amsterdam werd bedreigd en uitgescholden door een groepje jongeren, staat nog niet open voor een ‘bemiddelingsgesprek’ met de 15-jarige verdachte die gisteren werd vrijgelaten. De advocaat van die jongen hoopt vervolging te kunnen voorkomen door een bemiddelingsgesprek aan te bieden.",https://www.ad.nl/binnenland/bedreigd-homokoppel-wil-voorlopig-geen-bemiddelingsgesprek-met-belager~a042bae6/,0.0,304,44
